ranking,modelo,link_review,link_importar,link_amazon,nota_global,som,anc,modo_ambiente,microfone,preço_medio_reais,autonomia_horas,resistencia,tipo,estilo,carrega_sem_fio,possui_anc,possui_modo_ambiente,possui_modo_jogo,possui_deteccao_uso,possui_atender_recusar,possui_play_pause,possui_avancar_musica,possui_retormar_musica,possui_chamar_assistente,possui_controle_volume,possui_configurar_toques,possui_multiponto,possui_deteccao_voz,possui_atendimento_automatico,possui_audio_espacial
77,THIEAUDIO Hype 2,https://youtu.be/LWk8C_aLSIE,https://s.click.aliexpress.com/e/_DELs7AP,https://amzn.to/45VRzL0,8.71,9,N/A,N/A,N/A,1600,N/A,N/A,Intra Auricular,Com Fio,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
78,SIMGOT EA500,https://youtu.be/Tho9PiaQmY8,https://s.click.aliexpress.com/e/_DE91tW3,https://amzn.to/3qrS4O0,8.71,8.8,N/A,N/A,N/A,400,N/A,N/A,Intra Auricular,Com Fio,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
79,KZ ZSN Pro,https://youtu.be/EnEt02d0LMc,https://s.click.aliexpress.com/e/_DDgqwnt,https://amzn.to/3B2JJUn,8.71,8.79,N/A,N/A,9,65,N/A,N/A,Intra Auricular,Com Fio,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
80,QKZ x HBB Khan,https://youtu.be/vibs-bwsMPw,https://s.click.aliexpress.com/e/_DmW3zwF,https://amzn.to/3E5axnh,8.71,8.79,N/A,N/A,9,200,N/A,N/A,Intra Auricular,Com Fio,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
81,KZ ZSN Pro + AZ10,https://youtu.be/EnEt02d0LMc,https://s.click.aliexpress.com/e/_DkdePP5,https://amzn.to/3nZISMc,8.71,8.78,N/A,N/A,8,140,6,N/A,Intra Auricular,Com Gancho,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
82,ZIIGAAT Cinno,https://youtu.be/9B1A-IJR-e0,https://s.click.aliexpress.com/e/_DefCRBT,https://amzn.to/3U4rSWn,8.71,8.77,N/A,N/A,N/A,515,N/A,N/A,Intra Auricular,Com Fio,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
83,SoundPeats H1,https://youtu.be/yp22yQ-FRQM,https://s.click.aliexpress.com/e/_Dchuamr,https://amzn.to/3Dltbok,8.71,8.77,N/A,N/A,8.9,300,10,IPX5,Intra Auricular,Cápsulas,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
84,KZ SK10 Pro,https://youtu.be/cYBMKAkKS28,https://s.click.aliexpress.com/e/_DE8HaDd,https://amzn.to/3IP6dKo,8.71,8.77,N/A,N/A,8.7,270,6,N/A,Intra Auricular,Cápsulas,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
84,KZ Z3,https://youtu.be/4LX6kOwJbyw,https://s.click.aliexpress.com/e/_DDjGF8f,https://amzn.to/3vqe5w7,8.71,8.77,N/A,N/A,8.7,N/A,6,N/A,Intra Auricular,Cápsulas,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
85,Soundcore A20i,https://youtu.be/ih4Xm0BFM08,https://s.click.aliexpress.com/e/_DdtPVyR,https://amzn.to/3Xloeao,8.71,8.76,N/A,N/A,8.9,150,9,IPX5,Intra Auricular,Cápsulas,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
86,Soundcore P20i,https://youtu.be/XJi-sguxRO8,https://s.click.aliexpress.com/e/_DBOxwYj,https://amzn.to/469iSD3,8.71,8.76,N/A,N/A,8.9,150,10,IPX5,Intra Auricular,Hastes,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
87,QCY T13X,https://youtu.be/FN-xIUrxqJA,https://mercadolivre.com/sec/2VQntyB,https://amzn.to/3UtCldZ,8.71,8.76,N/A,N/A,8.9,220,8,IPX5,Intra Auricular,Hastes,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
88,Soundcore Life A1,https://youtu.be/_uqs_Pb8O1A,https://s.click.aliexpress.com/e/_Dn13qWn,https://amzn.to/3FUxg4z,8.71,8.76,N/A,N/A,8.9,250,9,IPX7,Intra Auricular,Cápsulas,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
88,HONOR Choice Earbuds X3 Lite,https://youtu.be/zJGz1dBgymI,https://s.click.aliexpress.com/e/_Dmfkda3,https://amzn.to/3BByXUE,8.71,8.75,N/A,N/A,9,130,6,IPX4,Intra Auricular,Hastes,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
89,Zhulinniao Qing Luan Z4,https://youtu.be/EqkA9130zRU,https://s.click.aliexpress.com/e/_DFXsYQL,https://amzn.to/3Q5Kp1Q,8.71,8.75,N/A,N/A,N/A,250,N/A,N/A,Intra Auricular,Com Fio,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
90,TOZO T18 Crystal Buds,https://youtu.be/lvt37FaPqe8,https://s.click.aliexpress.com/e/_DC54sTZ,https://amzn.to/3IWosOc,8.71,8.76,N/A,N/A,8.8,260,9,IPX7,Intra Auricular,Cápsulas,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
91,TOZO A1,https://youtu.be/jwtjKHkgDh8,https://s.click.aliexpress.com/e/_DlqX08b,https://amzn.to/3C53SsZ,8.71,8.75,N/A,N/A,8.9,115,6,IPX5,Intra Auricular,Cápsulas,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
92,Realme Buds Air 3S,https://youtu.be/vxK_ML4aonA,https://s.click.aliexpress.com/e/_Dl4Cp3H,https://amzn.to/3UQKtC8,8.71,8.75,N/A,N/A,8.9,150,7,IPX5,Intra Auricular,Hastes,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
93,Realme Buds Air 3 Neo,https://youtu.be/Do_l2kawHBc,https://s.click.aliexpress.com/e/_DCanTPN,https://amzn.to/3KAGAxP,8.71,8.75,N/A,N/A,8.9,150,7,IPX5,Intra Auricular,Hastes,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
94,Soundcore Life P2 Mini,https://youtu.be/vo9ML9PgtSk,https://s.click.aliexpress.com/e/_DBTNJTH,https://amzn.to/3zoJQGW,8.71,8.75,N/A,N/A,8.8,130,8,IPX5,Intra Auricular,Hastes,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
95,SoundPeats Clear,https://youtu.be/WLtu0trkzL4,https://s.click.aliexpress.com/e/_DCv8Myf,https://amzn.to/3SWwP33,8.71,8.75,N/A,N/A,8.7,150,7,IPX4,Intra Auricular,Hastes,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
96,Haylou W1,https://youtu.be/6re47tlCzFU,https://s.click.aliexpress.com/e/_DEzTayT,https://amzn.to/40U7BDh,8.71,8.75,N/A,N/A,8.7,170,6,IPX4,Intra Auricular,Hastes,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
96,Tranya T30,https://youtu.be/EERv0c_PzCg,https://amzn.to/3qQIuAz,https://amzn.to/3qQIuAz,8.71,8.75,N/A,N/A,8.7,200,8,IPX7,Intra Auricular,Hastes,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
97,Kiwi Ears Quintet,https://youtu.be/eyV76Dgw5_s,https://s.click.aliexpress.com/e/_DDFmotD,https://amzn.to/3qpMc8t,8.71,8.9,N/A,N/A,N/A,1150,N/A,N/A,Intra Auricular,Com Fio,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
98,Tranya T20,https://youtu.be/VHxXCIokHQU,https://amzn.to/3mk8fbL,https://amzn.to/3mk8fbL,8.71,8.75,N/A,N/A,8.7,200,8,IPX7,Intra Auricular,Cápsulas,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
99,SoundPeats Sonic,https://youtu.be/w2Y-NwE7-VQ,https://s.click.aliexpress.com/e/_DBs3D0X,https://amzn.to/3mA9Dpl,8.71,8.75,N/A,N/A,8.7,200,15,IPX5,Intra Auricular,Cápsulas,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
100,SoundPeats Sonic Pro,https://youtu.be/66HkR7LGi-c,https://s.click.aliexpress.com/e/_DetNaSX,https://amzn.to/3lnVQCS,8.71,8.75,N/A,N/A,8.7,230,15,IPX5,Intra Auricular,Cápsulas,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
100,TOZO T20,https://youtu.be/T87VQs37OFQ,https://s.click.aliexpress.com/e/_DEBEZmn,https://amzn.to/46Kg13k,8.71,8.75,N/A,N/A,8.7,320,10.5,IPX8,Intra Auricular,Hastes,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
101,7Hz Sonus,https://youtu.be/tihnUQHejps,https://s.click.aliexpress.com/e/_DDygmb9,https://amzn.to/47cVFzE,8.71,8.8,N/A,N/A,N/A,325,N/A,N/A,Intra Auricular,Com Fio,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
102,Tranya T50,https://youtu.be/ZwGi8aVhDCo,https://amzn.to/3qZWCf3,https://amzn.to/3qZWCf3,8.71,8.75,N/A,N/A,8.5,160,6,IPX5,Intra Auricular,Hastes,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
102,Stage Magic,https://youtu.be/TX8FHOCSfDY,https://amzn.to/3LDLDwJ,https://amzn.to/3LDLDwJ,8.71,8.75,N/A,N/A,8.3,100,N/A,N/A,Intra Auricular,Com Fio,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
103,SoundPeats Free 2 Classic,https://youtu.be/LxX79P1Alww,https://s.click.aliexpress.com/e/_DmxX4ZH,https://amzn.to/3OqndJ5,8.71,8.75,N/A,N/A,8.3,130,8,IPX5,Intra Auricular,Cápsulas,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
104,Pamu Quiet,https://youtu.be/cinh4qGzA4M,https://bit.ly/3pfHdD7,https://amzn.to/3oKOonG,8.71,8.75,N/A,N/A,8.7,600,4.5,IPX4,Intra Auricular,Hastes,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
105,Baseus Bowie E9,https://youtu.be/Kl3aH_xLOoA,https://s.click.aliexpress.com/e/_DmzE4f5,https://amzn.to/3JcNkkJ,8.71,8.74,N/A,N/A,9,170,5,IPX5,Intra Auricular,Hastes,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
105,Acefast Crystal T6,https://youtu.be/3IsToh42E0Q,https://s.click.aliexpress.com/e/_DkZI19t,https://amzn.to/3ewtFkw,8.71,8.74,N/A,N/A,8.9,225,4,IPX4,Intra Auricular,Hastes,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
106,Tranya X1,https://youtu.be/JfMyhjMqfHw,https://amzn.to/3w8wkX5,https://amzn.to/3w8wkX5,8.71,8.74,N/A,N/A,8.8,200,6,IPX5,Intra Auricular,Com Gancho,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
107,Tronsmart Onyx Prime,https://youtu.be/C5Gl_cHu4xQ,N/A,https://amzn.to/3rd3ZMf,8.71,8.74,N/A,N/A,8.8,340,7,IPX4,Intra Auricular,Hastes,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
108,Haylou GT1 2022,https://youtu.be/2IYdG5yOaK8,https://s.click.aliexpress.com/e/_DEkGKen,https://amzn.to/40xK7nC,8.71,8.74,N/A,N/A,8.7,100,5,IPX5,Intra Auricular,Cápsulas,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
109,QCY-T18,https://youtu.be/9l5e3thDAfU,https://s.click.aliexpress.com/e/_Dk5fElV,https://amzn.to/3FYIwO3,8.71,8.74,N/A,N/A,8.7,170,7,N/A,Intra Auricular,Hastes,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
110,1MORE Omthing AirFree Buds,https://youtu.be/htlI897_-l4,N/A,https://amzn.to/3XqXIMl,8.71,8.74,N/A,N/A,8.7,190,7,IPX4,Intra Auricular,Cápsulas,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
111,Tranya T6,https://youtu.be/EzSLvd6I1pI,https://amzn.to/3r9tbYh,https://amzn.to/3r9tbYh,8.71,8.74,N/A,N/A,8.7,250,9,IPX5,Intra Auricular,Cápsulas,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
112,Ugreen HiTune X5,https://youtu.be/iZLx-4sMgAY,N/A,https://amzn.to/3lkOIY6,8.71,8.74,N/A,N/A,8.7,260,7,IPX5,Intra Auricular,Hastes,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
113,Stage Cool 5,https://youtu.be/11G_50_laXM,https://amzn.to/45sNvTu,https://amzn.to/45sNvTu,8.71,8.74,N/A,N/A,8.6,130,6,IPX5,Intra Auricular,Hastes,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
114,Blitzwolf BW-FYE15,https://youtu.be/-eGks1RreBI,https://bit.ly/3tcD7Ow,https://amzn.to/3J8wgKK,8.71,8.74,N/A,N/A,8.6,175,4,IPX5,Intra Auricular,Hastes,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
115,Soundpeats Gamer N.1,https://youtu.be/eQs5r6vi8ek,N/A,https://amzn.to/3r1wNYm,8.71,8.74,N/A,N/A,8.4,200,5,IPX5,Intra Auricular,Hastes,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
116,Nuarl N6 Sports,https://youtu.be/IoYH1qG4mec,https://nuarl.com/,N/A,8.71,8.74,N/A,8.65,8.3,N/A,10,IPX7,Intra Auricular,Cápsulas,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
117,Haylou GT7,https://youtu.be/JsKUxtZvMCk,https://s.click.aliexpress.com/e/_DmDPgzd,https://amzn.to/3G3BKbi,8.71,8.73,N/A,N/A,8.7,120,5,IPX5,Intra Auricular,Hastes,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
118,EKSA GT1 Cobra,https://youtu.be/jq8e1ID0ckM,N/A,https://amzn.to/3ChnNDw,8.71,8.73,N/A,N/A,8.7,195,6,IPX4,Intra Auricular,Hastes,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
119,Syllable WD1100,https://youtu.be/hdcpPczw4EI,https://s.click.aliexpress.com/e/_DEKAUTZ,https://amzn.to/3HD98nW,8.71,8.72,N/A,N/A,8.6,200,5,IPX5,Intra Auricular,Hastes,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
120,QCY-T13,https://youtu.be/ALheiqwRLyA,https://s.click.aliexpress.com/e/_DBafRET,https://amzn.to/3Gux8Iw,8.71,8.71,N/A,N/A,8.6,100,8,IPX5,Intra Auricular,Hastes,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
121,Stage Hero 3,https://youtu.be/Sf-IJpJOhgA,https://amzn.to/3x4bRTc,https://amzn.to/3x4bRTc,8.71,8.7,N/A,N/A,8.7,140,6,N/A,Intra Auricular,Hastes,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
122,Stage Hero 5,https://youtu.be/uqoe-AsPhbY,https://amzn.to/39tk1Jz,https://amzn.to/3DnEFYl,8.71,8.7,N/A,N/A,8.7,190,5,N/A,Intra Auricular,Hastes,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
137,Syllable S115 Plus,https://youtu.be/4LZY_-cUptU,https://s.click.aliexpress.com/e/_DeOUnTN,https://amzn.to/3FonlEB,8.65,8.6,N/A,N/A,8.8,200,12,IPX6,Intra Auricular,Cápsulas,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
138,Wavefun Flex 3,https://youtu.be/HK-WzUN9Ep0,N/A,https://amzn.to/3KYfxer,8.65,8.6,N/A,N/A,8.75,110,30,IPX5,Intra Auricular,Com Fio,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
139,Tranya M10,https://youtu.be/gMT6Vpdbvlk,https://amzn.to/3tIPIr7,https://amzn.to/3oLQrYn,8.65,8.6,N/A,N/A,8.7,260,10,IPX5,Intra Auricular,Cápsulas,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
140,Tranya T10,https://youtu.be/7rUrh1l_KwY,https://amzn.to/3egGJY5,https://amzn.to/3uVXLBK,8.65,8.6,N/A,N/A,8.7,364,8,IPX7,Intra Auricular,Cápsulas,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
141,Blitzwolf BW-FYE5S,https://youtu.be/rsOvHDlKni8,N/A,https://amzn.to/30dzkVv,8.65,8.6,N/A,N/A,8.5,150,3,IPX5,Intra Auricular,Hastes,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
142,Overbeats Pro,https://youtu.be/n1uY9ZHreaE,N/A,https://amzn.to/3oKyZDN,8.65,8.6,N/A,N/A,8,290,9,IPX5,Intra Auricular,Com Gancho,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
143,Tranya T3,https://youtu.be/49-4LC9XE5M,https://amzn.to/3p0EJJE,https://amzn.to/2WXD3VO,8.65,8.55,N/A,N/A,8.7,130,8,IPX5,Intra Auricular,Cápsulas,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
144,Tranya T3 Pro,https://youtu.be/49-4LC9XE5M,https://amzn.to/3v3eeEw,https://amzn.to/3BoMKeY,8.65,8.55,N/A,N/A,8.7,160,8,IPX5,Intra Auricular,Cápsulas,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
145,Tranya T10 Pro,https://youtu.be/1pCsAZdUNHA,https://amzn.to/3HAraXv,https://amzn.to/3HAraXv,8.65,8.55,N/A,N/A,8.7,200,8,IPX7,Intra Auricular,Cápsulas,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
146,Tranya T10B - 2021,https://youtu.be/84Et8qS-pJE,https://amzn.to/3z7XqgE,https://amzn.to/2WT06Ru,8.65,8.55,N/A,N/A,8.7,200,8,IPX7,Intra Auricular,Cápsulas,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
147,Tranya T40,https://youtu.be/QLFpWiVZDxM,https://amzn.to/3mVrubr,https://amzn.to/3mVrubr,8.65,8.55,N/A,N/A,8.7,200,8,IPX5,Intra Auricular,Com Gancho,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
148,Tranya M10B,https://youtu.be/B57TvbJxxZo,https://amzn.to/3hft4SD,https://amzn.to/3aj97Xh,8.65,8.55,N/A,N/A,8.7,280,7,IPX5,Intra Auricular,Cápsulas,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
149,QCY-T17,https://youtu.be/NuDX4QNjiR0,https://s.click.aliexpress.com/e/_Dl8vlA3,https://amzn.to/3d7wtAx,8.65,8.55,N/A,N/A,8.5,100,7.5,IPX4,Intra Auricular,Cápsulas,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
150,Realme Buds Q,https://youtu.be/KorguugXuUQ,https://s.click.aliexpress.com/e/_DCDLiYr,https://amzn.to/3qmoozH,8.65,8.55,N/A,N/A,8.5,160,4.5,IPX4,Intra Auricular,Cápsulas,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
151,Awei T35,https://youtu.be/X8QgSr-sPVw,https://s.click.aliexpress.com/e/_Ddbms2B,https://amzn.to/3oO9Nw6,8.65,8.55,N/A,N/A,8,150,5,IPX5,Intra Auricular,Hastes,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
157,Haylou T19,https://youtu.be/Ca7oqqcFRS0,https://s.click.aliexpress.com/e/_DeUUtST,https://amzn.to/3092iWp,8.55,8.4,N/A,N/A,8.7,170,5,IPX4,Intra Auricular,Hastes,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
158,Ugreen Hitune T1,https://youtu.be/gpFIF9UvUS4,https://s.click.aliexpress.com/e/_DB2vCzV,https://amzn.to/3aon6Lr,8.55,8.4,N/A,N/A,8.7,210,5,IPX5,Intra Auricular,Hastes,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
159,QCC010,https://youtu.be/qV80ni5MPuw,N/A,N/A,8.55,8.4,N/A,N/A,8.5,130,8,IPX5,Intra Auricular,Cápsulas,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
160,Haylou GT3,https://youtu.be/R8XTi-9Vsww,N/A,https://amzn.to/3Fv3vYb,8.55,8.4,N/A,N/A,8.5,135,4,IPX4,Intra Auricular,Hastes,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
123,Padmate S28,https://youtu.be/C_MT7yVgNOs,https://bit.ly/3kWtIXU,https://amzn.to/3esNsy0,8.7,8.7,N/A,N/A,9,260,7,IPX4,Intra Auricular,Cápsulas,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
124,Syllable S101 Plus,https://youtu.be/rAIhIk2jBF0,https://s.click.aliexpress.com/e/_DdeNhpZ,https://amzn.to/3BsaEWG,8.7,8.7,N/A,N/A,8.8,200,12,IPX6,Intra Auricular,Cápsulas,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
125,Syllable S101,https://youtu.be/EStvA-8v0Hs,https://s.click.aliexpress.com/e/_DczRe3D,https://amzn.to/3oL8SwG,8.7,8.7,N/A,N/A,8.7,170,10,IPX6,Intra Auricular,Cápsulas,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
126,Pamu Slide Mini,https://youtu.be/2SGAIK9XM5Y,https://bit.ly/3zYWZrS,https://amzn.to/3Dq08zQ,8.7,8.7,N/A,N/A,8.7,210,11,IPX6,Intra Auricular,Hastes,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
127,SoundPeats H2,https://youtu.be/Qmh5a2wHe_I,https://s.click.aliexpress.com/e/_DCvWlA7,https://amzn.to/3nQ4Lhd,8.7,8.7,N/A,N/A,8.7,400,5,IPX5,Intra Auricular,Hastes,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
128,Pamu Nano,https://youtu.be/-Gpo8Ioopww,https://bit.ly/3oZcMAW,https://amzn.to/2WXCUSg,8.7,8.7,N/A,N/A,8.6,300,6,IPX6,Intra Auricular,Cápsulas,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
129,Xiaomi Redmi Buds 3 Lite,https://youtu.be/ybXiidrQb1A,https://s.click.aliexpress.com/e/_DklFNx9,https://amzn.to/38SU60Q,8.7,8.7,N/A,N/A,8.5,90,5,IP54,Intra Auricular,Cápsulas,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
130,Wavefun Xpods 3TS,https://youtu.be/DV1AARV0h6A,N/A,https://amzn.to/3lnD12Q,8.7,8.7,N/A,N/A,8.5,140,6,IPX7,Intra Auricular,Cápsulas,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
131,Edifier Hecate GM4,https://youtu.be/YNfuIFbeWTs,https://s.click.aliexpress.com/e/_DmAbTYP,https://amzn.to/3iJr6uw,8.7,8.7,N/A,N/A,8.5,200,4,IPX5,Intra Auricular,Hastes,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
132,Wavefun Xpods 3T,https://youtu.be/O48zZj46YVQ,N/A,https://amzn.to/3ApC8uP,8.7,8.7,N/A,N/A,8,140,6,IPX7,Intra Auricular,Cápsulas,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
133,Awei T19,https://youtu.be/PinG7bl88hY,N/A,https://amzn.to/3AjJv7f,8.7,8.7,N/A,N/A,8,215,5,IPX5,Intra Auricular,Cápsulas,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
134,Nuarl N6 Mini 2 SE,https://youtu.be/IoYH1qG4mec,https://nuarl.com/,N/A,8.7,8.7,N/A,8.65,8.3,N/A,8,IPX7,Intra Auricular,Cápsulas,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
135,Nuarl N6 Pro Serie 2,https://youtu.be/IoYH1qG4mec,https://nuarl.com/,N/A,8.7,8.7,N/A,8.65,8.3,N/A,10,IPX4,Intra Auricular,Cápsulas,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
